                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2002,                0.66849,                0.80774,                0.81592,                0.56794,                0.61905,                0.39056,                 1.1227,                0.62059,                 0.8049,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.1602,                0.65421,                 0.8078,                0.82725,                0.59848,                0.63173,                0.39134,                 1.0883,                0.59225,                0.80468,               0.000359,               0.000359,               0.000359
                     38,                 1.1658,                0.64628,                0.80979,                0.84511,                0.56203,                0.62666,                0.39684,                 1.1064,                0.61528,                0.80496,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.1104,                0.62251,                0.80729,                0.86324,                0.52513,                0.61073,                0.37633,                 1.1175,                0.60454,                0.80579,              0.0003095,              0.0003095,              0.0003095
                     40,                  1.175,                0.63743,                0.80739,                0.83027,                0.54895,                0.62547,                0.38451,                 1.1023,                0.59444,                0.80458,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.1073,                0.68233,                0.80722,                 0.8401,                0.52272,                0.59163,                0.36497,                 1.1194,                0.63859,                0.80736,                0.00026,                0.00026,                0.00026
                     42,                 1.0553,                0.62621,                0.80975,                0.80385,                0.60741,                0.61988,                0.39057,                    1.1,                0.59521,                0.80415,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.0364,                0.62265,                0.80459,                0.83313,                0.55876,                0.61671,                 0.3811,                 1.1012,                0.59336,                 0.8044,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.0561,                0.61636,                0.80853,                0.86409,                0.53614,                0.63038,                0.38695,                 1.1161,                0.60773,                0.80545,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.0564,                0.62106,                0.80282,                0.85539,                0.56527,                0.63124,                0.39901,                 1.1203,                0.59569,                0.80633,               0.000161,               0.000161,               0.000161
                     46,                 1.0597,                0.61338,                0.80987,                0.85156,                0.56302,                0.63897,                0.39994,                 1.0979,                0.58243,                 0.8052,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.0358,                0.60095,                0.80678,                0.83472,                0.58543,                0.64031,                0.39891,                 1.0976,                0.57441,                0.80545,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.0676,                0.60615,                0.80122,                0.83982,                0.56771,                0.63387,                 0.3985,                 1.0919,                0.57261,                0.80468,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                   1.02,                0.58963,                0.80233,                0.83527,                 0.5688,                0.63484,                0.39782,                 1.0862,                0.57762,                 0.8045,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.0158,                0.58094,                0.80182,                0.83323,                0.60174,                0.64123,                0.40161,                 1.0884,                0.57898,                0.80424,              3.725e-05,              3.725e-05,              3.725e-05
