                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2083,                 0.6639,                0.80839,                0.81269,                 0.5629,                0.61751,                0.36873,                 1.1521,                0.61898,                0.80701,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.2106,                 0.6542,                0.81141,                0.83065,                0.59687,                0.62747,                 0.3842,                 1.1612,                0.61523,                0.80813,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.2216,                0.66874,                0.81095,                0.89505,                0.54912,                0.63442,                0.38087,                 1.1836,                0.61163,                0.81065,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.1649,                0.63066,                0.81146,                0.84092,                 0.5838,                0.64252,                0.38583,                 1.1436,                 0.5955,                0.80806,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.1893,                0.63813,                0.80828,                0.87777,                0.55504,                0.61548,                0.37886,                 1.1274,                0.60608,                0.80773,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.1822,                0.63431,                0.81233,                0.86508,                0.54686,                0.62385,                0.38335,                 1.1246,                0.60383,                0.80644,               0.000755,               0.000755,               0.000755
                     42,                 1.1834,                0.63789,                0.80737,                0.82181,                0.57436,                0.62837,                0.38546,                 1.1619,                0.62297,                0.80984,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.1641,                0.62544,                0.81019,                0.84421,                0.57549,                0.61879,                0.37673,                 1.1252,                0.59015,                 0.8088,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.1601,                0.62664,                0.81239,                0.87298,                0.60555,                0.64592,                0.38529,                 1.1544,                0.60045,                0.80709,             0.00071788,             0.00071788,             0.00071788
                     45,                  1.158,                0.61758,                0.81035,                0.80306,                0.56277,                0.61753,                0.36868,                 1.1478,                0.60388,                 0.8056,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.1228,                0.60734,                0.80716,                0.85439,                0.58444,                0.63877,                0.39841,                 1.0927,                0.56858,                0.80458,             0.00069313,             0.00069313,             0.00069313
                     47,                  1.156,                0.61195,                0.80581,                0.87034,                 0.5961,                0.63278,                0.38288,                 1.1866,                0.60739,                0.80926,             0.00068075,             0.00068075,             0.00068075
                     48,                    1.2,                 0.6469,                0.81243,                0.86438,                0.57991,                 0.6458,                0.39085,                 1.1416,                0.59123,                0.80787,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.1925,                 0.6205,                0.81079,                0.81762,                 0.5662,                0.59339,                 0.3736,                 1.1293,                0.60726,                0.80562,               0.000656,               0.000656,               0.000656
                     50,                 1.1997,                0.62336,                0.81081,                 0.8463,                0.57806,                0.63194,                0.36857,                 1.2672,                0.61625,                0.81505,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.1917,                 0.6143,                0.80635,                0.83459,                0.56722,                0.59859,                0.38809,                    1.1,                0.62225,                0.80552,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.1546,                0.60372,                0.80731,                 0.8478,                0.59637,                  0.626,                0.38866,                 1.0839,                0.56889,                0.80536,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.1418,                0.59888,                0.80714,                 0.8261,                0.59081,                0.63026,                0.39734,                 1.0838,                0.59283,                0.80517,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.1271,                0.60216,                0.80358,                0.67571,                0.58819,                0.63212,                0.39453,                 1.0969,                0.57944,                0.80404,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.1548,                0.60184,                 0.8085,                0.89296,                0.53537,                0.61494,                 0.3825,                 1.1079,                0.58529,                 0.8038,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.1706,                0.61013,                0.80507,                0.87551,                0.56197,                0.64023,                0.37808,                 1.1908,                0.59754,                0.80882,             0.00056938,             0.00056938,             0.00056938
                     57,                   1.18,                0.60358,                0.80952,                 0.8384,                0.62683,                0.64795,                0.38633,                 1.1446,                 0.5965,                 0.8086,               0.000557,               0.000557,               0.000557
                     58,                 1.1492,                0.59754,                0.80531,                 0.8425,                0.59987,                0.65102,                 0.3879,                 1.1004,                0.58205,                0.80439,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.1722,                 0.6047,                0.80201,                0.80607,                0.64656,                0.65941,                0.39043,                 1.0867,                0.56406,                0.80373,             0.00053225,             0.00053225,             0.00053225
